City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kailua-kona,19.6406,-155.9956,26.98,80,80,100,US,2023-06-13 09:29:32
1,waitangi,-43.9535,-176.5597,9.9,91,91,95,NZ,2023-06-13 09:33:05
2,vila franca do campo,37.7167,-25.4333,19.23,96,96,93,PT,2023-06-13 09:33:05
3,baukau,51.5526,7.2042,27.38,37,37,5,DE,2023-06-13 09:33:06
4,yayva,59.3303,57.2641,21.4,38,38,34,RU,2023-06-13 09:33:06
5,albany,42.6001,-73.9662,16.99,89,89,100,US,2023-06-13 09:33:06
6,papatowai,-46.5619,169.4708,8.53,91,91,95,NZ,2023-06-13 09:33:06
7,saipan,15.1355,145.701,28.69,100,100,20,MP,2023-06-13 09:33:07
8,letterkenny,54.95,-7.7333,18.94,83,83,100,IE,2023-06-13 09:33:07
9,'ain abid,36.2319,6.9433,20.93,63,63,100,DZ,2023-06-13 09:33:07
10,ancud,-41.8697,-73.8203,3.78,88,88,100,CL,2023-06-13 09:29:27
11,edinburgh of the seven seas,-37.0676,-12.3116,14.73,89,89,100,SH,2023-06-13 09:30:07
12,enewetak,11.3474,162.3373,27.85,82,82,90,MH,2023-06-13 09:33:08
13,adamstown,-25.066,-130.1015,20.73,60,60,70,PN,2023-06-13 09:33:08
14,ushuaia,-54.8,-68.3,3.81,75,75,0,AR,2023-06-13 09:28:36
15,port lincoln,-34.7333,135.8667,13.54,62,62,90,AU,2023-06-13 09:28:31
16,borba,-4.3878,-59.5939,22.7,96,96,7,BR,2023-06-13 09:33:09
17,tazovsky,67.4667,78.7,6.37,46,46,57,RU,2023-06-13 09:31:44
18,ilulissat,69.2167,-51.1,2.01,75,75,100,GL,2023-06-13 09:32:02
19,port mathurin,-19.6833,63.4167,24.98,73,73,14,MU,2023-06-13 09:33:10
20,kapuskasing,49.4169,-82.4331,14.05,82,82,100,CA,2023-06-13 09:33:10
21,lata,40.1629,-8.3327,18.93,78,78,87,PT,2023-06-13 09:33:10
22,invercargill,-46.4,168.35,7.29,94,94,97,NZ,2023-06-13 09:33:11
23,lai chau,22.3997,103.4517,25.04,83,83,100,VN,2023-06-13 09:33:11
24,port-aux-francais,-49.35,70.2167,6.13,90,90,99,TF,2023-06-13 09:33:11
25,margaret river,-33.95,115.0667,15.75,72,72,100,AU,2023-06-13 09:33:12
26,talnakh,69.4865,88.3972,6.23,70,70,100,RU,2023-06-13 09:33:12
27,dudinka,69.4058,86.1778,6.46,61,61,100,RU,2023-06-13 09:33:12
28,fisterra,42.9049,-9.2629,19.45,89,89,27,ES,2023-06-13 09:33:12
29,saurimo,-9.6608,20.3916,31.91,21,21,3,AO,2023-06-13 09:33:13
30,hithadhoo,-0.6,73.0833,29.12,71,71,51,MV,2023-06-13 09:33:13
31,levuka,50.1834,-105.4011,14.84,44,44,59,CA,2023-06-13 09:33:13
32,iqaluit,63.7506,-68.5145,-1.15,100,100,75,CA,2023-06-13 09:33:13
33,nieuw amsterdam,5.8833,-55.0833,25.01,91,91,97,SR,2023-06-13 09:33:14
34,susuman,62.7833,148.1667,4.28,76,76,100,RU,2023-06-13 09:28:35
35,bahia blanca,-38.7196,-62.2724,4.34,55,55,6,AR,2023-06-13 09:33:14
36,tajerouine,35.8917,8.5528,22.2,53,53,100,TN,2023-06-13 09:33:14
37,avarua,-21.2078,-159.775,25.03,88,88,40,CK,2023-06-13 09:33:15
38,linden,6.0,-58.3,22.98,98,98,98,GY,2023-06-13 09:33:15
39,orsa,54.5153,30.4053,17.38,53,53,100,BY,2023-06-13 09:29:59
40,badger,64.8,-147.5333,10.95,65,65,100,US,2023-06-13 09:29:22
41,nadym,65.5333,72.5167,11.87,35,35,100,RU,2023-06-13 09:28:39
42,ribeira grande,38.5167,-28.7,19.32,94,94,75,PT,2023-06-13 09:33:16
43,sisimiut,66.9395,-53.6735,0.66,80,80,39,GL,2023-06-13 09:31:05
44,vilyuchinsk,52.9306,158.4028,20.15,62,62,0,RU,2023-06-13 09:30:11
45,alice springs,-23.7,133.8833,14.56,36,36,0,AU,2023-06-13 09:33:17
46,anadyr,64.75,177.4833,14.28,58,58,0,RU,2023-06-13 09:29:18
47,bredasdorp,-34.5322,20.0403,15.32,73,73,100,ZA,2023-06-13 09:33:17
48,lazaro cardenas,17.9583,-102.2,25.96,84,84,33,MX,2023-06-13 09:29:07
49,puerto natales,-51.7236,-72.4875,1.54,89,89,100,CL,2023-06-13 09:33:18
50,ibiza,38.9088,1.433,25.12,84,84,40,ES,2023-06-13 09:31:47
51,kalevala,65.2,31.1667,19.14,49,49,58,RU,2023-06-13 09:33:18
52,rustaq,23.3908,57.4244,44.28,9,9,68,OM,2023-06-13 09:33:18
53,yellowknife,62.456,-114.3525,7.29,81,81,100,CA,2023-06-13 09:33:19
54,atafu village,-8.5421,-172.5159,28.81,76,76,63,TK,2023-06-13 09:33:19
55,grytviken,-54.2811,-36.5092,-4.81,80,80,97,GS,2023-06-13 09:33:19
56,kone,-21.0595,164.8658,19.7,75,75,35,NC,2023-06-13 09:33:20
57,palu,-0.8917,119.8707,24.92,97,97,100,ID,2023-06-13 09:33:20
58,olonkinbyen,70.9221,-8.7187,2.72,93,93,100,SJ,2023-06-13 09:33:20
59,longyearbyen,78.2186,15.6401,4.91,65,65,20,SJ,2023-06-13 09:33:20
60,whitehorse,60.7161,-135.0538,8.43,42,42,40,CA,2023-06-13 09:33:21
61,ixtapa,20.7,-105.2,22.75,77,77,50,MX,2023-06-13 09:33:21
62,punta arenas,-53.15,-70.9167,3.06,81,81,75,CL,2023-06-13 09:33:21
63,wailua homesteads,22.0669,-159.378,23.75,88,88,100,US,2023-06-13 09:33:21
64,cole harbour,44.6724,-63.4751,16.66,83,83,64,CA,2023-06-13 09:33:22
65,vorgashor,67.5833,63.95,8.61,87,87,100,RU,2023-06-13 09:33:22
66,fukuecho,32.6881,128.8419,24.2,88,88,75,JP,2023-06-13 09:30:20
67,kodiak,57.79,-152.4072,4.73,81,81,20,US,2023-06-13 09:33:22
68,hamilton,39.1834,-84.5333,14.47,81,81,0,US,2023-06-13 09:31:36
69,haiku-pauwela,20.9219,-156.3051,23.91,74,74,0,US,2023-06-13 09:33:23
